,user_id,review_count
0,qkJtn0Rtz_lKlTs5azBkng,3
1,iDJCA-MMb8LRpBEN5qIWrA,8
2,aFXA_ZCpPWhsHVg1Uyjl4A,27
3,8p4JGNgZl705fByqyF6BrQ,52
4,FzRxr6E-3kjOb9wpsSOJ4Q,25
5,cm6ctpCg3JKUUqV95YCwjw,183
6,XhMjACJ8aKBdtZkZd_m1jQ,6
7,0TJ01iwzVLXtr_EYcfqoWQ,220
8,XNEhI7txmya0WzsnYihU2Q,10
9,wxRVZowoEoy7kscvU-FX-w,93
10,7GPNBO496aecrjJfW6UWtg,694
11,kNL4SpfIdMC8GywGayDEOw,1112
12,01s7LU3GsNVUR9vPAoj7Lw,31
13,MGxxhpyVCqUI696GfH48iw,86
14,Y3j14l1TjXJ6a7eLRWJniw,4
15,puK1NJiFCCy4Bj_e6SCr1Q,579
16,sDiiBvtwbwzTqEozByzaAQ,178
17,75RntWgoKzw9hOnAG61lUw,213
18,ujOwZo999jM6bhkSXOX61w,115
19,Wp-IrBCNqSc2r3LrPZQjXA,22
20,5jf3SJVCPxHNrQXGZ2h-2Q,24
21,X_526DZfpSriocKu9IJfWQ,19
22,jCpu4Elxq8GeEhR2G8nvOA,8
23,fExj_WQCSQnqtJJitlp1ag,51
24,b7ijwegYC73v8FwefXk9jQ,101
25,F2cMAsmFfxT1iy92fVCmFw,415
26,8tdpq4NS0rd9c0eyy9M2lA,880
27,81VIwNUOYQG4zTuSQEdkGw,200
28,_NioYQLO669GVuwNYgsMvA,4
29,k2qyzc1yQc6UppJLKDCHCg,86
30,HvQ45V3LxGbY6-YZ97cvqQ,195
31,95h8tdQOG_bAET7FiHfEWQ,79
32,dngihhhsWcvWPWHUnrFhBA,11
33,kvVzvO0zN3cpCjuMeqGoUw,8
34,CLfqC-AQJLkmOHV3d-KCZg,286
35,S5oMD5z3sQ2K93UunjBBUQ,15
36,UTkvIBuXLX75HSm-7DAmmg,2
37,LF6aUpdc2KUkbk4Y9SOKsA,143
38,7OPBkeJT4He4XEWLDfw0_g,94
39,_S-ES0_G3q_ISZR0PUuWnQ,6
40,kxsZCrVvaXl0gTDMfrCUOQ,5
41,SfNfXuYfLxywOtgf2mYoJA,82
42,LrsX8ioOG6GEIHfsXI_9GA,460
43,D2PY0xlsj5DZh34VjTDwZg,17
44,New-yv7k9vZJw9iLTm0cEw,173
45,85Jq6l707HWj2XpFw7qPGg,272
46,MQq_1AlcDWsyNs7Ot8J4OQ,202
47,GriRJ25olEQx6ZHoTsmwcg,2
48,tlAnz_Xs0jjg4K0nuv50Bg,34
49,XkXyOlbf677Hg-mLEMaN4A,3
50,nXPD461oNkjVF8wRYXSRtw,222
51,dSeYpzf0JkCeARr_CyCh7A,26
52,aIqDek9d1fDEgLIAWXMGSA,342
53,VkWUgLZkholyRWagwDpgHw,232
54,1O638BDK_fWuxgTVJwff-A,2739
55,hJoRRKUWcdgjDmci2oua-g,3
56,RX_Pu5NFnPukM0WK7Zfzww,121
57,hn-mT1rG9FxXvYsII3JiIA,81
58,rYhhwBBPmrV9UwN7VIrnTQ,6
59,sOL82Hbfza89tKL6m_wBJA,107
60,zlWSz4voG5SjJNQWW3rDnA,1
61,x9p0RQsdWD-NZuhH4J1zHw,106
62,BfLPcrmnmBJST8_r48I2Hw,21
63,qn5F6kkmhZzW-2ofPpGHeg,14
64,U1vl4SQzO3wTAWlYVnSjnw,954
65,Xgc8RAII67FdKk9Iwv62rg,5
66,_OkEXLN_5T9cMc3UFrLT9A,54
67,rdrbizbKmClF3M2t11XxFA,8
68,8BjtYLi4rfZH-v23S170OA,38
69,2zD4GHzv0sW05XgME5KMqQ,19
70,4ONcRRisDZkbV1cviA7nFw,225
71,ZhK2xIa4f73JZfua7IP8vA,652
72,m6T3lhzu2DLF5oIR7xxLjg,118
73,-dpNp1PpdvK7EbHfiN95Cg,29
74,JArO1E1pr1OJlIh-E2SweA,5
75,vVSW1iBEsy10Ri8y54R6Ew,92
76,XuCcJqoZo6yividJVMr-PA,1
77,VFfEnQ5xv7eoVDzRg77fRQ,3
78,TAi9Jjw5ovlRyl22PysbPQ,4
79,JNVGChHwcoVEL1cEd2wWtw,140
80,ClJirlfCI0W0CfpYaWdfEw,21
81,nHjRBSbzPeqdq5_D3AirEg,326
82,2Ty2wSzp-qumjUL1dL-1Nw,82
83,90ikYGvijTyvSr1jMcg0aw,13
84,mY3NA8f6H0-i38SOjxyhFg,91
85,uK-SA52IGMqL9P8LCuIRdQ,132
86,41kMyI1BfOTyIIAenUSaTQ,1384
87,bbK1mL-AyYCHZncDQ_4RgA,93
88,zR2RIA8HL2YoRwuwy-4E6g,56
89,dC4ZMttRK3zjPAmjt59GbA,19
